"","date","drivers","front","rear"
"1","1969-01-01",1687,867,269
"2","1969-02-01",1508,825,265
"3","1969-03-01",1507,806,319
"4","1969-04-01",1385,814,407
"5","1969-05-01",1632,991,454
"6","1969-06-01",1511,945,427
"7","1969-07-01",1559,1004,522
"8","1969-08-01",1630,1091,536
"9","1969-09-01",1579,958,405
"10","1969-10-01",1653,850,437
"11","1969-11-01",2152,1109,434
"12","1969-12-01",2148,1113,437
"13","1970-01-01",1752,925,316
"14","1970-02-01",1765,903,311
"15","1970-03-01",1717,1006,351
"16","1970-04-01",1558,892,362
"17","1970-05-01",1575,990,486
"18","1970-06-01",1520,866,429
"19","1970-07-01",1805,1095,551
"20","1970-08-01",1800,1204,646
"21","1970-09-01",1719,1029,456
"22","1970-10-01",2008,1147,475
"23","1970-11-01",2242,1171,456
"24","1970-12-01",2478,1299,468
"25","1971-01-01",2030,944,356
"26","1971-02-01",1655,874,271
"27","1971-03-01",1693,840,354
"28","1971-04-01",1623,893,427
"29","1971-05-01",1805,1007,465
"30","1971-06-01",1746,973,440
"31","1971-07-01",1795,1097,539
"32","1971-08-01",1926,1194,646
"33","1971-09-01",1619,988,457
"34","1971-10-01",1992,1077,446
"35","1971-11-01",2233,1045,402
"36","1971-12-01",2192,1115,441
"37","1972-01-01",2080,1005,359
"38","1972-02-01",1768,857,334
"39","1972-03-01",1835,879,312
"40","1972-04-01",1569,887,427
"41","1972-05-01",1976,1075,434
"42","1972-06-01",1853,1121,486
"43","1972-07-01",1965,1190,569
"44","1972-08-01",1689,1058,523
"45","1972-09-01",1778,939,418
"46","1972-10-01",1976,1074,452
"47","1972-11-01",2397,1089,462
"48","1972-12-01",2654,1208,497
"49","1973-01-01",2097,903,354
"50","1973-02-01",1963,916,347
"51","1973-03-01",1677,787,276
"52","1973-04-01",1941,1114,472
"53","1973-05-01",2003,1014,487
"54","1973-06-01",1813,1022,505
"55","1973-07-01",2012,1114,619
"56","1973-08-01",1912,1132,640
"57","1973-09-01",2084,1111,559
"58","1973-10-01",2080,1008,453
"59","1973-11-01",2118,916,418
"60","1973-12-01",2150,992,419
"61","1974-01-01",1608,731,262
"62","1974-02-01",1503,665,299
"63","1974-03-01",1548,724,303
"64","1974-04-01",1382,744,401
"65","1974-05-01",1731,910,413
"66","1974-06-01",1798,883,426
"67","1974-07-01",1779,900,516
"68","1974-08-01",1887,1057,600
"69","1974-09-01",2004,1076,459
"70","1974-10-01",2077,919,443
"71","1974-11-01",2092,920,412
"72","1974-12-01",2051,953,400
"73","1975-01-01",1577,664,278
"74","1975-02-01",1356,607,302
"75","1975-03-01",1652,777,381
"76","1975-04-01",1382,633,279
"77","1975-05-01",1519,791,442
"78","1975-06-01",1421,790,409
"79","1975-07-01",1442,803,416
"80","1975-08-01",1543,884,511
"81","1975-09-01",1656,769,393
"82","1975-10-01",1561,732,345
"83","1975-11-01",1905,859,391
"84","1975-12-01",2199,994,470
"85","1976-01-01",1473,704,266
"86","1976-02-01",1655,684,312
"87","1976-03-01",1407,671,300
"88","1976-04-01",1395,643,373
"89","1976-05-01",1530,771,412
"90","1976-06-01",1309,644,322
"91","1976-07-01",1526,828,458
"92","1976-08-01",1327,748,427
"93","1976-09-01",1627,767,346
"94","1976-10-01",1748,825,421
"95","1976-11-01",1958,810,344
"96","1976-12-01",2274,986,370
"97","1977-01-01",1648,714,291
"98","1977-02-01",1401,567,224
"99","1977-03-01",1411,616,266
"100","1977-04-01",1403,678,338
"101","1977-05-01",1394,742,298
"102","1977-06-01",1520,840,386
"103","1977-07-01",1528,888,479
"104","1977-08-01",1643,852,473
"105","1977-09-01",1515,774,332
"106","1977-10-01",1685,831,391
"107","1977-11-01",2000,889,370
"108","1977-12-01",2215,1046,431
"109","1978-01-01",1956,889,366
"110","1978-02-01",1462,626,250
"111","1978-03-01",1563,808,355
"112","1978-04-01",1459,746,304
"113","1978-05-01",1446,754,379
"114","1978-06-01",1622,865,440
"115","1978-07-01",1657,980,500
"116","1978-08-01",1638,959,511
"117","1978-09-01",1643,856,384
"118","1978-10-01",1683,798,366
"119","1978-11-01",2050,942,432
"120","1978-12-01",2262,1010,390
"121","1979-01-01",1813,796,306
"122","1979-02-01",1445,643,232
"123","1979-03-01",1762,794,342
"124","1979-04-01",1461,750,329
"125","1979-05-01",1556,809,394
"126","1979-06-01",1431,716,355
"127","1979-07-01",1427,851,385
"128","1979-08-01",1554,931,463
"129","1979-09-01",1645,834,453
"130","1979-10-01",1653,762,373
"131","1979-11-01",2016,880,401
"132","1979-12-01",2207,1077,466
"133","1980-01-01",1665,748,306
"134","1980-02-01",1361,593,263
"135","1980-03-01",1506,720,323
"136","1980-04-01",1360,646,310
"137","1980-05-01",1453,765,424
"138","1980-06-01",1522,820,403
"139","1980-07-01",1460,807,406
"140","1980-08-01",1552,885,466
"141","1980-09-01",1548,803,381
"142","1980-10-01",1827,860,369
"143","1980-11-01",1737,825,378
"144","1980-12-01",1941,911,392
"145","1981-01-01",1474,704,284
"146","1981-02-01",1458,691,316
"147","1981-03-01",1542,688,321
"148","1981-04-01",1404,714,358
"149","1981-05-01",1522,814,378
"150","1981-06-01",1385,736,382
"151","1981-07-01",1641,876,433
"152","1981-08-01",1510,829,506
"153","1981-09-01",1681,818,428
"154","1981-10-01",1938,942,479
"155","1981-11-01",1868,782,370
"156","1981-12-01",1726,823,349
"157","1982-01-01",1456,595,238
"158","1982-02-01",1445,673,285
"159","1982-03-01",1456,660,324
"160","1982-04-01",1365,676,346
"161","1982-05-01",1487,755,410
"162","1982-06-01",1558,815,411
"163","1982-07-01",1488,867,496
"164","1982-08-01",1684,933,534
"165","1982-09-01",1594,798,396
"166","1982-10-01",1850,950,470
"167","1982-11-01",1998,825,385
"168","1982-12-01",2079,911,411
"169","1983-01-01",1494,619,281
"170","1983-02-01",1057,426,300
"171","1983-03-01",1218,475,318
"172","1983-04-01",1168,556,391
"173","1983-05-01",1236,559,398
"174","1983-06-01",1076,483,337
"175","1983-07-01",1174,587,477
"176","1983-08-01",1139,615,422
"177","1983-09-01",1427,618,495
"178","1983-10-01",1487,662,471
"179","1983-11-01",1483,519,368
"180","1983-12-01",1513,585,345
"181","1984-01-01",1357,483,296
"182","1984-02-01",1165,434,319
"183","1984-03-01",1282,513,349
"184","1984-04-01",1110,548,375
"185","1984-05-01",1297,586,441
"186","1984-06-01",1185,522,465
"187","1984-07-01",1222,601,472
"188","1984-08-01",1284,644,521
"189","1984-09-01",1444,643,429
"190","1984-10-01",1575,641,408
"191","1984-11-01",1737,711,490
"192","1984-12-01",1763,721,491
