date,drivers,front,rear
Jan-69,1687,867,269
Feb-69,1508,825,265
Mar-69,1507,806,319
Apr-69,1385,814,407
May-69,1632,991,454
Jun-69,1511,945,427
Jul-69,1559,1004,522
Aug-69,1630,1091,536
Sep-69,1579,958,405
Oct-69,1653,850,437
Nov-69,2152,1109,434
Dec-69,2148,1113,437
Jan-70,1752,925,316
Feb-70,1765,903,311
Mar-70,1717,1006,351
Apr-70,1558,892,362
May-70,1575,990,486
Jun-70,1520,866,429
Jul-70,1805,1095,551
Aug-70,1800,1204,646
Sep-70,1719,1029,456
Oct-70,2008,1147,475
Nov-70,2242,1171,456
Dec-70,2478,1299,468
Jan-71,2030,944,356
Feb-71,1655,874,271
Mar-71,1693,840,354
Apr-71,1623,893,427
May-71,1805,1007,465
Jun-71,1746,973,440
Jul-71,1795,1097,539
Aug-71,1926,1194,646
Sep-71,1619,988,457
Oct-71,1992,1077,446
Nov-71,2233,1045,402
Dec-71,2192,1115,441
Jan-72,2080,1005,359
Feb-72,1768,857,334
Mar-72,1835,879,312
Apr-72,1569,887,427
May-72,1976,1075,434
Jun-72,1853,1121,486
Jul-72,1965,1190,569
Aug-72,1689,1058,523
Sep-72,1778,939,418
Oct-72,1976,1074,452
Nov-72,2397,1089,462
Dec-72,2654,1208,497
Jan-73,2097,903,354
Feb-73,1963,916,347
Mar-73,1677,787,276
Apr-73,1941,1114,472
May-73,2003,1014,487
Jun-73,1813,1022,505
Jul-73,2012,1114,619
Aug-73,1912,1132,640
Sep-73,2084,1111,559
Oct-73,2080,1008,453
Nov-73,2118,916,418
Dec-73,2150,992,419
Jan-74,1608,731,262
Feb-74,1503,665,299
Mar-74,1548,724,303
Apr-74,1382,744,401
May-74,1731,910,413
Jun-74,1798,883,426
Jul-74,1779,900,516
Aug-74,1887,1057,600
Sep-74,2004,1076,459
Oct-74,2077,919,443
Nov-74,2092,920,412
Dec-74,2051,953,400
Jan-75,1577,664,278
Feb-75,1356,607,302
Mar-75,1652,777,381
Apr-75,1382,633,279
May-75,1519,791,442
Jun-75,1421,790,409
Jul-75,1442,803,416
Aug-75,1543,884,511
Sep-75,1656,769,393
Oct-75,1561,732,345
Nov-75,1905,859,391
Dec-75,2199,994,470
Jan-76,1473,704,266
Feb-76,1655,684,312
Mar-76,1407,671,300
Apr-76,1395,643,373
May-76,1530,771,412
Jun-76,1309,644,322
Jul-76,1526,828,458
Aug-76,1327,748,427
Sep-76,1627,767,346
Oct-76,1748,825,421
Nov-76,1958,810,344
Dec-76,2274,986,370
Jan-77,1648,714,291
Feb-77,1401,567,224
Mar-77,1411,616,266
Apr-77,1403,678,338
May-77,1394,742,298
Jun-77,1520,840,386
Jul-77,1528,888,479
Aug-77,1643,852,473
Sep-77,1515,774,332
Oct-77,1685,831,391
Nov-77,2000,889,370
Dec-77,2215,1046,431
Jan-78,1956,889,366
Feb-78,1462,626,250
Mar-78,1563,808,355
Apr-78,1459,746,304
May-78,1446,754,379
Jun-78,1622,865,440
Jul-78,1657,980,500
Aug-78,1638,959,511
Sep-78,1643,856,384
Oct-78,1683,798,366
Nov-78,2050,942,432
Dec-78,2262,1010,390
Jan-79,1813,796,306
Feb-79,1445,643,232
Mar-79,1762,794,342
Apr-79,1461,750,329
May-79,1556,809,394
Jun-79,1431,716,355
Jul-79,1427,851,385
Aug-79,1554,931,463
Sep-79,1645,834,453
Oct-79,1653,762,373
Nov-79,2016,880,401
Dec-79,2207,1077,466
Jan-80,1665,748,306
Feb-80,1361,593,263
Mar-80,1506,720,323
Apr-80,1360,646,310
May-80,1453,765,424
Jun-80,1522,820,403
Jul-80,1460,807,406
Aug-80,1552,885,466
Sep-80,1548,803,381
Oct-80,1827,860,369
Nov-80,1737,825,378
Dec-80,1941,911,392
Jan-81,1474,704,284
Feb-81,1458,691,316
Mar-81,1542,688,321
Apr-81,1404,714,358
May-81,1522,814,378
Jun-81,1385,736,382
Jul-81,1641,876,433
Aug-81,1510,829,506
Sep-81,1681,818,428
Oct-81,1938,942,479
Nov-81,1868,782,370
Dec-81,1726,823,349
Jan-82,1456,595,238
Feb-82,1445,673,285
Mar-82,1456,660,324
Apr-82,1365,676,346
May-82,1487,755,410
Jun-82,1558,815,411
Jul-82,1488,867,496
Aug-82,1684,933,534
Sep-82,1594,798,396
Oct-82,1850,950,470
Nov-82,1998,825,385
Dec-82,2079,911,411
Jan-83,1494,619,281
Feb-83,1057,426,300
Mar-83,1218,475,318
Apr-83,1168,556,391
May-83,1236,559,398
Jun-83,1076,483,337
Jul-83,1174,587,477
Aug-83,1139,615,422
Sep-83,1427,618,495
Oct-83,1487,662,471
Nov-83,1483,519,368
Dec-83,1513,585,345
Jan-84,1357,483,296
Feb-84,1165,434,319
Mar-84,1282,513,349
Apr-84,1110,548,375
May-84,1297,586,441
Jun-84,1185,522,465
Jul-84,1222,601,472
Aug-84,1284,644,521
Sep-84,1444,643,429
Oct-84,1575,641,408
Nov-84,1737,711,490
Dec-84,1763,721,491